Company Name,Primary Category,Vendor Scale,Local Vendor Priority,Address,City,State,Phone,Website,Latitude,Longitude,Map Status,Priority,Verification Status,Source URL,Notes,Oilfield Specific Fit,Location Role / Satellite Type,Expansion Source,Original Latitude,Original Longitude,Map Offset Applied,Duplicate Cleanup Action,Address Completeness,Hover Separation Group,Hover Group Size,Map Behavior
Nine Energy Service - Athens Completion Tools,Completion Tools / Completion Services,National / Multi-basin,High,29131 State Highway 19 Business,Athens,TX,903-479-3154,https://www.nineenergyservice.com/,32.168917,-95.842549,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/completion-tools#locations,Official Nine Energy Service completion-tools location.,Confirmed oilfield and gasfield completion fit,Verified service location,Nine Energy full service-line refresh 2026-06-22,32.168917,-95.842549,,,Physical address and company coordinates verified,32.168917|-95.842549,1,Single marker; tooltip opens on click
Nine Energy Service - Baker Wireline,Wireline / Cased-hole Services,National / Williston Basin,High,3659 Red River Lane,Baker,MT,406-778-3254,https://www.nineenergyservice.com/,46.367479,-104.281988,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/wireline#locations,Official Nine Energy Service wireline location.,Confirmed oilfield and gasfield wireline fit,Verified service location,Nine Energy full service-line refresh 2026-06-22,46.367479,-104.281988,,,Physical address and company coordinates verified,46.367479|-104.281988,1,Single marker; tooltip opens on click
Nine Energy Service - Charleroi Wireline,Wireline / Cased-hole Services,National / Appalachia,High,114 Monack Way,Charleroi,PA,724-222-8900,https://www.nineenergyservice.com/,40.137850,-79.898104,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/wireline#locations,Official Nine Energy Service wireline location.,Confirmed oilfield and gasfield wireline fit,Verified service location,Nine Energy full service-line refresh 2026-06-22,40.13785,-79.898104,,,Physical address and company coordinates verified,40.137850|-79.898104,1,Single marker; tooltip opens on click
Nine Energy Service - Corpus Christi Corporate,Corporate / Completion Services Support,National / South Texas,Medium,"5151 Flynn Parkway, Suite 512",Corpus Christi,TX,361-400-4199,https://www.nineenergyservice.com/,27.716382,-97.393069,Company address and coordinates verified,Medium,Company location source verified 2026-06-22,https://www.nineenergyservice.com/cementing#locations,Official Nine Energy Service Corpus Christi corporate location.,Oilfield and gasfield support office,Verified corporate location,Nine Energy full service-line refresh 2026-06-22,27.716382,-97.393069,,,Physical address and company coordinates verified,27.716382|-97.393069,1,Single marker; tooltip opens on click
Nine Energy Service - Corpus Christi Completion Tools,Completion Tools / Completion Services,National / South Texas,High,"1959 Saratoga Boulevard, Building 23",Corpus Christi,TX,361-299-6333,https://www.nineenergyservice.com/,27.715179,-97.448913,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/completion-tools#locations,Official Nine Energy Service completion-tools location.,Confirmed oilfield and gasfield completion fit,Verified service location,Nine Energy full service-line refresh 2026-06-22,27.715179,-97.448913,,,Physical address and company coordinates verified,27.715179|-97.448913,1,Single marker; tooltip opens on click
Nine Energy Service - Dickinson Wireline,Wireline / Cased-hole Services,National / Williston Basin,High,547 West Villard Street,Dickinson,ND,701-483-3894,https://www.nineenergyservice.com/,46.878586,-102.793949,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/wireline#locations,Official Nine Energy Service wireline location.,Confirmed oilfield and gasfield wireline fit,Verified service location,Nine Energy full service-line refresh 2026-06-22,46.878586,-102.793949,,,Physical address and company coordinates verified,46.878586|-102.793949,1,Single marker; tooltip opens on click
Nine Energy Service - Fort Worth Multi-Service,Drilling / Wireline / Coiled Tubing / Cementing,National / Multi-basin,High,"6500 West Freeway, Suite 601",Fort Worth,TX,817-862-9834,https://www.nineenergyservice.com/,32.735585,-97.429048,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/cementing#locations,Official multi-service location supporting drilling wireline coiled tubing and cementing.,Confirmed oilfield and gasfield service fit,Verified multi-service location,Nine Energy full service-line refresh 2026-06-22,32.735585,-97.429048,,,Physical address and company coordinates verified,32.735585|-97.429048,1,Single marker; tooltip opens on click
Nine Energy Service - Hobbs Multi-Service,Drilling / Cementing,National / Permian Basin,High,3424 Northwest County Road,Hobbs,NM,575-392-0011,https://www.nineenergyservice.com/,32.737924,-103.166116,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/cementing#locations,Official drilling and cementing location.,Confirmed oilfield and gasfield service fit,Verified multi-service location,Nine Energy full service-line refresh 2026-06-22,32.737924,-103.166116,,,Physical address and company coordinates verified,32.737924|-103.166116,1,Single marker; tooltip opens on click
Nine Energy Service - Houston Corporate,Corporate / Completion Services Support,National / Multi-basin,Medium,"2001 Kirby Drive, Suite 200",Houston,TX,281-730-5100,https://www.nineenergyservice.com/,29.747854,-95.418296,Company address and coordinates verified,Medium,Company location source verified 2026-06-22,https://www.nineenergyservice.com/cementing#locations,Official Nine Energy Service corporate headquarters.,Oilfield and gasfield support office,Verified corporate location,Nine Energy full service-line refresh 2026-06-22,29.747854,-95.418296,,,Physical address and company coordinates verified,29.747854|-95.418296,1,Single marker; tooltip opens on click
Nine Energy Service - Jacksboro Cementing,Cementing / Completion Services,National / Multi-basin,High,131 FM 4,Jacksboro,TX,940-567-3392,https://www.nineenergyservice.com/,33.207216,-98.188033,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/cementing#locations,Official Nine Energy Service cementing facility.,Confirmed oilfield and gasfield cementing fit,Verified service location,Nine Energy full service-line refresh 2026-06-22,33.207216,-98.188033,,,Physical address and company coordinates verified,33.207216|-98.188033,1,Single marker; tooltip opens on click
Nine Energy Service - Jacksboro Completion Tools,Completion Tools / Completion Services,National / Multi-basin,High,124 Lumar Drive,Jacksboro,TX,361-299-6333,https://www.nineenergyservice.com/,33.229502,-98.164734,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/completion-tools#locations,Separate official Nine Energy Service completion-tools facility in Jacksboro.,Confirmed oilfield and gasfield completion fit,Verified service location,Nine Energy full service-line refresh 2026-06-22,33.229502,-98.164734,,,Physical address and company coordinates verified,33.229502|-98.164734,1,Single marker; tooltip opens on click
Nine Energy Service - Kilgore Coiled Tubing,Coiled Tubing / Well Intervention,National / East Texas,High,3308 State Highway 135 North,Kilgore,TX,903-218-5036,https://www.nineenergyservice.com/,32.416632,-94.908572,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/coiled-tubing#locations,Official Nine Energy Service coiled-tubing location.,Confirmed oilfield and gasfield intervention fit,Verified service location,Nine Energy full service-line refresh 2026-06-22,32.416632,-94.908572,,,Physical address and company coordinates verified,32.416632|-94.908572,1,Single marker; tooltip opens on click
Nine Energy Service - Longview Multi-Service,Drilling / Wireline / Cementing,National / East Texas,High,9674 TX-149,Longview,TX,903-202-1630,https://www.nineenergyservice.com/,32.388873,-94.667045,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/cementing#locations,Official multi-service location supporting drilling wireline and cementing.,Confirmed oilfield and gasfield service fit,Verified multi-service location,Nine Energy full service-line refresh 2026-06-22,32.388873,-94.667045,,,Physical address and company coordinates verified,32.388873|-94.667045,1,Single marker; tooltip opens on click
Nine Energy Service - Marietta Wireline and Completions,Wireline / Completion Services,National / Appalachia,High,"2345 Ohio 821, Building 9",Marietta,OH,740-371-5465,https://www.nineenergyservice.com/,39.474491,-81.441876,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/wireline#locations,Official wireline and completions facility.,Confirmed oilfield and gasfield completion fit,Verified multi-service location,Nine Energy full service-line refresh 2026-06-22,39.474491,-81.441876,,,Physical address and company coordinates verified,39.474491|-81.441876,1,Single marker; tooltip opens on click
Nine Energy Service - Marietta Completion Tools,Completion Tools / Completion Services,National / Appalachia,High,"2163 C State Route 821, Building 6",Marietta,OH,740-336-7862,https://www.nineenergyservice.com/,39.472005,-81.442017,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/completion-tools#locations,Separate official Nine Energy Service completion-tools facility in Marietta.,Confirmed oilfield and gasfield completion fit,Verified service location,Nine Energy full service-line refresh 2026-06-22,39.472005,-81.442017,,,Physical address and company coordinates verified,39.472005|-81.442017,1,Single marker; tooltip opens on click
Nine Energy Service - Mead Completion Tools,Completion Tools / Completion Services,National / Rockies,High,3995 South Valley Drive,Mead,CO,720-378-7862,https://www.nineenergyservice.com/,40.205810,-104.977884,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/completion-tools#locations,Official Nine Energy Service completion-tools location.,Confirmed oilfield and gasfield completion fit,Verified service location,Nine Energy full service-line refresh 2026-06-22,40.20581,-104.977884,,,Physical address and company coordinates verified,40.205810|-104.977884,1,Single marker; tooltip opens on click
Nine Energy Service - Midland Completion Tools,Completion Tools / Completion Services,National / Permian Basin,High,9319 West IH 20,Midland,TX,432-689-8900,https://www.nineenergyservice.com/,31.954342,-102.142478,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/completion-tools#locations,Official Nine Energy Service completion-tools location.,Confirmed oilfield and gasfield completion fit,Verified service location,Nine Energy full service-line refresh 2026-06-22,31.954342,-102.142478,,,Physical address and company coordinates verified,31.954342|-102.142478,1,Single marker; tooltip opens on click
Nine Energy Service - Monahans Coiled Tubing,Coiled Tubing / Well Intervention,National / Permian Basin,High,1101 South Loop 464 Road,Monahans,TX,432-943-4501,https://www.nineenergyservice.com/,31.583835,-102.915034,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/coiled-tubing#locations,Official Nine Energy Service coiled-tubing location.,Confirmed oilfield and gasfield intervention fit,Verified service location,Nine Energy full service-line refresh 2026-06-22,31.583835,-102.915034,,,Physical address and company coordinates verified,31.583835|-102.915034,1,Single marker; tooltip opens on click
Nine Energy Service - Pleasanton Multi-Service,Drilling / Coiled Tubing / Cementing,National / Eagle Ford,High,496 Shale Road,Pleasanton,TX,830-569-2130,https://www.nineenergyservice.com/,28.931055,-98.475961,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/cementing#locations,Official multi-service location supporting drilling coiled tubing and cementing.,Confirmed oilfield and gasfield service fit,Verified multi-service location,Nine Energy full service-line refresh 2026-06-22,28.931055,-98.475961,,,Physical address and company coordinates verified,28.931055|-98.475961,1,Single marker; tooltip opens on click
Nine Energy Service - Poolville Completion Tools,Completion Tools / Completion Services,National / North Texas,High,13119 Highway 199 West,Poolville,TX,940-374-3054,https://www.nineenergyservice.com/,33.007953,-97.847179,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/completion-tools#locations,Official Nine Energy Service completion-tools location.,Confirmed oilfield and gasfield completion fit,Verified service location,Nine Energy full service-line refresh 2026-06-22,33.007953,-97.847179,,,Physical address and company coordinates verified,33.007953|-97.847179,1,Single marker; tooltip opens on click
Nine Energy Service - Sweetwater Multi-Service,Drilling / Cementing,National / West Texas,High,"9578-9998 I-20 Frontage Road",Sweetwater,TX,325-235-0015,https://www.nineenergyservice.com/,32.447274,-100.502663,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/cementing#locations,Official drilling and cementing location.,Confirmed oilfield and gasfield service fit,Verified multi-service location,Nine Energy full service-line refresh 2026-06-22,32.447274,-100.502663,,,Physical address and company coordinates verified,32.447274|-100.502663,1,Single marker; tooltip opens on click
Nine Energy Service - Tyler Completion Tools,Completion Tools / Completion Services,National / East Texas,High,"12095 Spur 364, Unit 610",Tyler,TX,361-299-6333,https://www.nineenergyservice.com/,32.309907,-95.367623,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/completion-tools#locations,Official Nine Energy Service completion-tools location.,Confirmed oilfield and gasfield completion fit,Verified service location,Nine Energy full service-line refresh 2026-06-22,32.309907,-95.367623,,,Physical address and company coordinates verified,32.309907|-95.367623,1,Single marker; tooltip opens on click
Nine Energy Service - Ulster Wireline and Completions,Wireline / Completion Services,National / Appalachia,High,75 Stowell Lane,Ulster,PA,570-358-3250,https://www.nineenergyservice.com/,41.841540,-76.506119,Company address and coordinates verified,High,Company location and service-line source verified 2026-06-22,https://www.nineenergyservice.com/wireline#locations,Official wireline and completions facility.,Confirmed oilfield and gasfield completion fit,Verified multi-service location,Nine Energy full service-line refresh 2026-06-22,41.84154,-76.506119,,,Physical address and company coordinates verified,41.841540|-76.506119,1,Single marker; tooltip opens on click
