Name,Address,Latitude,Longitude,Business Status,Primary Type,Discovery Tier,Discovery Score,Reasons,Matched Themes,Anchor Markets,Google Maps URL,Place ID
AES Drilling Fluids,"3575 E US Hwy 67, Big Lake, TX 76932, USA",31.1797658,-101.4014633,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction; well service field services production support; pump and supply artificial lift production equipment; engine compressor repair service oil gas,Big Lake|TX,https://www.google.com/maps/place/?q=place_id:ChIJC15WvzXX-YYRULXjPiECUq8,ChIJC15WvzXX-YYRULXjPiECUq8
Andrews & Foster Drilling Co,"1301 E Corsicana St, Athens, TX 75751, USA",32.2012039,-95.8331377,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support,Athens|TX,https://www.google.com/maps/place/?q=place_id:ChIJ6Rxgder9SIYRclCcT1N40Pc,ChIJ6Rxgder9SIYRclCcT1N40Pc
Arcadia Oilfield Supply,"2276 Beech St, Arcadia, LA 71001, USA",32.5506591,-92.92424009999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; pipeline gathering integrity midstream construction; oilfield supply pumps equipment rental; pump and supply artificial lift production equipment,Arcadia|LA,https://www.google.com/maps/place/?q=place_id:ChIJRfpQxyO7MYYRyeGjhy8PT1s,ChIJRfpQxyO7MYYRyeGjhy8PT1s
"Bangert Well Service, Inc.","1 Industrial Park Rd, Clay City, IL 62824, USA",38.6882149,-88.33409549999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,well service field services production support; oilfield services; drilling workover wireline cementing services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction; mobile well testing hydro testing pressure testing; NDT inspection tubular pipeline integrity services,Bloomington|IL; Clay City|IL; Flora|IL; Grayville|IL,https://www.google.com/maps/place/?q=place_id:ChIJ0ShLZcffc4gRunFu833qDkE,ChIJ0ShLZcffc4gRunFu833qDkE
Bar C Drilling and Welding,"5190 Jackrabbit Ln, Belgrade, MT 59714, USA",45.7472102,-111.1841683,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 6 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; gas compression processing measurement methane services; well service field services production support; mobile well testing hydro testing pressure testing; NDT inspection tubular pipeline integrity services,Bozeman|MT,https://www.google.com/maps/place/?q=place_id:ChIJ24LkYUj7WlMRoezyOL_w28E,ChIJ24LkYUj7WlMRoezyOL_w28E
Bee Cave Drilling Inc,"185 Angel Fire Dr, Dripping Springs, TX 78620, USA",30.2548411,-98.165994,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Austin|TX; Bay City|TX,https://www.google.com/maps/place/?q=place_id:ChIJw2ZrUMNqW4YRW7s0EXcOU-8,ChIJw2ZrUMNqW4YRW7s0EXcOU-8
Bob's Oil Field Services Inc.,"3364 US-85, Belfield, ND 58622, USA",46.9244918,-103.1888275,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; well service field services production support; engine compressor repair service oil gas,Belfield|ND,https://www.google.com/maps/place/?q=place_id:ChIJDaDbzf8KJlMRRZvY2zOdpaQ,ChIJDaDbzf8KJlMRRZvY2zOdpaQ
Brewingtons Well Services,"54 Hwy 00, Fredericktown, MO 63645, USA",37.55977540000001,-90.2940069,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support,Fredericktown|MO,https://www.google.com/maps/place/?q=place_id:ChIJ54C04wI_2IcRHXod1pVIjME,ChIJ54C04wI_2IcRHXod1pVIjME
Bridger Drilling & Pumps,"107 Red Tail Hawk Dr, Belgrade, MT 59714, USA",45.7820353,-111.2042888,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 5 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing,Bozeman|MT,https://www.google.com/maps/place/?q=place_id:ChIJX86xeY03RVMRr5zAQR8Bwr0,ChIJX86xeY03RVMRr5zAQR8Bwr0
Brookwood Oil Field Services,"11756 Covered Bridge Rd, Brookwood, AL 35444, USA",33.21534,-87.31242999999999,OPERATIONAL,establishment,strong-review,110,operational; strong oil/gas service term; 4 strong matched theme(s); repeated across multiple query themes,oilfield services; gasfield natural gas well services; oilfield supply pumps equipment rental; well service field services production support,Brookwood|AL; Cottondale|AL,https://www.google.com/maps/place/?q=place_id:ChIJMeQzZLqwiIgRemJpbDwg-Cs,ChIJMeQzZLqwiIgRemJpbDwg-Cs
