Company Name,Address,Phone,Website,Categories,Association,Guide State,Existing Provider Match,Source URLs,Research Status,Description
"AC & S, Incorporated","Post Office Box 335, Nitro, WV 25143",(304) 755-9275,,Chemical Supplies,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Chemical+Supplies&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Ace Pipeline,"141 Campells Creek DR, Charleston, WV 25306",(304) 755-9840,http://www.acepipeline.com,"Oilfield Construction / Contractors; Pipeline Construction; Pipeline Maintenance; Water Line, Sewer and Storm Drain Construction",West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002318&company_name=Ace+Pipeline,Association guide discovery — verify current operations and oil/gas fit against company source,"Ace Pipeline Inc. is a privately owned West Virginia corporation, specializing in the construction of complex pipeline delivery systems throughout the greater Appalachian region. Veteran leaders direct a..."
"Ace Pipeline, Inc.","10016 Teays Valley Road, Scott Depot, WV 25560",(304) 755-9840,,"Oilfield Construction / Contractors; Pipeline Construction; Pipeline Maintenance; Water Line, Sewer and Storm Drain Construction",West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Oilfield+Construction+%2F+Contractors&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Maintenance&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Water+Line%2C+Sewer+and+Storm+Drain+Construction&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Alliance Consulting Inc,"124 Philpott Lane, Beaver, WV 25813",(304) 255-0491,,AGT (Above Ground Storage Tank) Inspections; Environmental Services; Inspection; Soil Testing,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002272&company_name=Alliance+Consulting+Inc,Association guide discovery — verify current operations and oil/gas fit against company source,"Alliance Consulting, Inc. (Alliance) is a full service multi-disciplinary Civil, and Environmental Engineering Consulting firm that was founded in 2001 by individuals with over 100 years of combined industry experience...."
"Alliance Consulting, Inc.","124 Philpott Lane, Raleigh CO Airport Ind PK, Beaver, WV 25813",(304) 255-0491,,AGT (Above Ground Storage Tank) Inspections; Environmental Services; Inspection; Soil Testing,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=AGT+%28Above+Ground+Storage+Tank%29+Inspections&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Environmental+Services&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Inspection&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Reclamation+Products&scat=Soil+Testing&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Apex Pipeline Services, Inc","Post Office Box 580, Nitro, WV 25143",(304) 204-0080,,Pipeline Construction,West Virginia oil and gas industry buyers guide,WV,,https://www.paoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Appalachian Pipe Distributors LLC,"828 East BLVD, Charlotte, NC 28203",(304) 552-6170,,Pipeline Construction,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Aptim,"314 Goff Mountain Road Suite 9, Charleston, WV 25313",(304) 542-2605,https://www.aptim.com/,Environmental Services; Inspections,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listing.php?listing_id=660002786&company_name=Aptim,Association guide discovery — verify current operations and oil/gas fit against company source,"For 30+ years, APTIM has provided high-quality, comprehensive, innovative, and personalized services to the petrochemical, oil and gas, pharmaceutical, and chemical industries. Our professional team of technical staff and..."
Aptim,"314 Golf Mountain Road, Suite 9, Cross Lanes, WV 25313",(304) 542-2605,,Environmental Services; Inspections,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Environmental+Services&num=100; https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Professional+Services&scat=Inspections&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Artex Oil Company,"2337 State RT 821, Marietta, OH 45750",(740) 525-2522,,Crude Oil Buyer and Transporter,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Transportation&scat=Crude+Oil+Buyer+and+Transporter&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
"Associated Pipe Line Contractors, Inc.","950 Echo Lane, Suite 100, Houston, TX 77024",(713) 789-4311,,Pipeline Construction,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
ATI Industries,"Post Office Box 1389, Dellslow, WV 26531",(304) 980-2358,,Pipeline Construction,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Construction&scat=Pipeline+Construction&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
Austin Powder Company,"Post Office Box, Dellslow, WV 26531",(304) 680-3532,,Chemical Supplies,West Virginia oil and gas industry buyers guide,WV,,https://www.wvoilgasbuyersguide.com/listings.php?section_id=%25&cat=Equipment+%26+Supplies&scat=Chemical+Supplies&num=100,Association guide discovery — verify current operations and oil/gas fit against company source,
